DD hh mm PREC
0.0 0.0 0 0.0
0.002777777777777778 0.16666666666666666 10 0.4949905957768471
0.005555555555555556 0.3333333333333333 20 0.8727381279202442
0.008333333333333333 0.5 30 0.7276312261534275
0.011111111111111112 0.6666666666666666 40 0.18475961309888458
0.013888888888888888 0.8333333333333334 50 0.9780601164730803
0.016666666666666666 1.0 60 0.7850257317913176
0.019444444444444445 1.1666666666666667 70 0.8074578747492585
0.022222222222222223 1.3333333333333333 80 0.2153022694079913
0.025 1.5 90 0.5053473441060105
0.027777777777777776 1.6666666666666667 100 0.4337182218093232
0.030555555555555555 1.8333333333333333 110 0.9340884899637416
0.03333333333333333 2.0 120 0.6794786080725981
0.03611111111111111 2.1666666666666665 130 0.0
0.03888888888888889 2.3333333333333335 140 0.0
0.041666666666666664 2.5 150 0.0
0.044444444444444446 2.6666666666666665 160 0.0
0.04722222222222222 2.8333333333333335 170 0.1574355304937578
0.05 3.0 180 0.8448680547933238
0.05277777777777778 3.1666666666666665 190 0.6684979592098583
0.05555555555555555 3.3333333333333335 200 0.7822789660768364
0.058333333333333334 3.5 210 0.4190733713168815
0.06111111111111111 3.6666666666666665 220 0.973628221955413
0.06388888888888888 3.8333333333333335 230 0.9038090091899779
0.06666666666666667 4.0 240 0.8005451473663857
0.06944444444444445 4.166666666666667 250 0.2751748370667708
0.07222222222222222 4.333333333333333 260 0.5200489033543307
0.075 4.5 270 0.13942338920850592
0.07777777777777778 4.666666666666667 280 0.23886054286079306
0.08055555555555556 4.833333333333333 290 0.7147440579182092
