					[m]
YYYY	MM	DD	hh	mm	Z_GW
2019	11	1	0	0	9.878048618511803
2019	11	2	0	0	9.866149906996315
2019	11	3	0	0	9.870886441524542
2019	11	4	0	0	9.8668166362412
2019	11	5	0	0	9.852161280880848
2019	11	6	0	0	9.865111740837587
2019	11	7	0	0	9.855292664030863
2019	11	8	0	0	9.852143321083423
2019	11	9	0	0	9.839418665491523
2019	11	10	0	0	9.838965662568125
2019	11	11	0	0	9.838065296421039
2019	11	12	0	0	9.844261641579612
2019	11	13	0	0	9.831240728273723
2019	11	14	0	0	9.837191639513822
2019	11	15	0	0	9.826786792151289
2019	11	16	0	0	9.817297874028176
2019	11	17	0	0	9.819114770666065
2019	11	18	0	0	9.803490629185829
2019	11	19	0	0	9.815103422649413
2019	11	20	0	0	9.816182403537814
2019	11	21	0	0	9.815145971937369
2019	11	22	0	0	9.797859847473426
2019	11	23	0	0	9.81226554856114
2019	11	24	0	0	9.801520160086893
2019	11	25	0	0	9.798502423666195
2019	11	26	0	0	9.789840538626597
2019	11	27	0	0	9.78450602274932
2019	11	28	0	0	9.780586226198256
2019	11	29	0	0	9.777188575960892
2019	11	30	0	0	9.783468884876589
2019	12	1	0	0	9.782575762081008
2019	12	2	0	0	9.782007014530016
2019	12	3	0	0	9.766882391471805
2019	12	4	0	0	9.76068172914876
2019	12	5	0	0	9.759845774945742
2019	12	6	0	0	9.758105965737718
2019	12	7	0	0	9.760210377878401
2019	12	8	0	0	9.755869096430493
2019	12	9	0	0	9.744852562401528
2019	12	10	0	0	9.760772173687638
2019	12	11	0	0	9.75170763553786
2019	12	12	0	0	9.757872138654418
2019	12	13	0	0	9.758665403637943
2019	12	14	0	0	9.739210611601946
2019	12	15	0	0	9.752397905702848
2019	12	16	0	0	9.74287166747728
2019	12	17	0	0	9.731676153093627
2019	12	18	0	0	9.72777832493254
2019	12	19	0	0	9.74028625717305
2019	12	20	0	0	9.729105012636
2019	12	21	0	0	9.721261863261457
