DD hh mm PREC
0.0 0.0 0 0.0
0.002777777777777778 0.16666666666666666 10 0.012092081562162023
0.005555555555555556 0.3333333333333333 20 0.016456515558966614
0.008333333333333333 0.5 30 0.022366002472993807
0.011111111111111112 0.6666666666666666 40 0.03035337014997494
0.013888888888888888 0.8333333333333334 50 0.04112845502554871
0.016666666666666666 1.0 60 0.055633603941408635
0.019444444444444445 1.1666666666666667 70 0.07511490068489217
0.022222222222222223 1.3333333333333333 80 0.10121266866119467
0.025 1.5 90 0.1360750645853227
0.027777777777777776 1.6666666666666667 100 0.18249845841728513
0.030555555555555555 1.8333333333333333 110 0.24409743258648134
0.03333333333333333 2.0 120 0.3255050388355421
0.03611111111111111 2.1666666666666665 130 0.4325994742066338
0.03888888888888889 2.3333333333333335 140 0.5727450738648056
0.041666666666666664 2.5 150 0.7550211112034229
0.044444444444444446 2.6666666666666665 160 0.9903876914781288
0.04722222222222222 2.8333333333333335 170 1.291698405269626
0.05 3.0 180 1.673405790090742
0.05277777777777778 3.1666666666666665 190 2.150704999890568
0.05555555555555555 3.3333333333333335 200 2.7377037120502683
0.058333333333333334 3.5 210 3.4439625886198235
0.06111111111111111 3.6666666666666665 220 4.268376165839667
0.06388888888888888 3.8333333333333335 230 5.188792586483755
0.06666666666666667 4.0 240 6.144903423427309
0.06944444444444445 4.166666666666667 250 7.010625440273558
0.07222222222222222 4.333333333333333 260 7.55022747352861
0.075 4.5 270 7.34950699453064
0.07777777777777778 4.666666666666667 280 5.708919361934406
0.08055555555555556 4.833333333333333 290 1.479012128506654
