;[mm];[1/m2];[mm];[-];[-];[-];[mm/hour];[mm/hour];[-]
lu_id;z_soil;dmpv;lmpv;theta_ac;theta_ufc;theta_pwp;ks;kf;clay
5;1350;234;867;0.062367585;0.19874834;0.14371297;17.761724;2500;0.15370413531678265
5;1350;137;856;0.080353126;0.21901785;0.118125476;8.86667;2500;0.10367806220884879
5;1350;258;251;0.077117644;0.07902895;0.11610593;12.64067;2500;0.16251305542656458
5;1350;212;53;0.024962682;0.16177523;0.10140152;3.6752224;2500;0.09372126599628058
5;1350;37;371;0.034669485;0.20499162;0.24675345;11.013373;2500;0.34743029909379625
5;1350;292;196;0.058195937;0.15408324;0.19826214;9.055568;2500;0.2812190433918969
5;1350;230;480;0.041192103;0.20444134;0.14818557;10.191242;2500;0.15941566799267323
5;1350;237;1175;0.088981114;0.14897953;0.18686178;4.501208;2500;0.26127453257681926
5;1350;47;225;0.065513104;0.20268533;0.1928611;17.458206;2500;0.24270499649556318
5;1350;140;389;0.07043591;0.09019953;0.12743935;2.5194397;2500;0.17824842684672063
5;1350;117;872;0.08631686;0.12977554;0.14333023;15.842812;2500;0.18552469516120373
5;1350;278;615;0.080444366;0.19856371;0.18209167;18.93835;2500;0.224257324816189
5;1350;196;62;0.08953178;0.11488252;0.22596918;3.0204005;2500;0.369285509899039
5;1350;248;202;0.03165345;0.19391488;0.1194383;9.240007;2500;0.11348720385093453
5;1350;138;1122;0.050941978;0.10229481;0.22875036;12.114051;2500;0.38667090202724724
5;1350;75;132;0.062809885;0.1208162;0.19134791;19.83536;2500;0.2900876520471944
5;1350;170;765;0.04356023;0.17598805;0.1734489;17.442276;2500;0.2191228145302696
5;1350;28;952;0.02514964;0.18469557;0.12159106;8.870349;2500;0.12028283566732637
5;1350;250;325;0.080780715;0.17641753;0.18248558;19.390425;2500;0.2364217020144156
5;1350;193;872;0.073857345;0.16792464;0.15304475;7.2940497;2500;0.1842047380486452
5;1350;229;212;0.101942725;0.18009965;0.12834507;7.459832;2500;0.1337331632615009
5;1350;112;348;0.051517602;0.22669801;0.23199601;10.618915;2500;0.30567979753505464
5;1350;291;381;0.03199691;0.15418606;0.1690859;15.811938;2500;0.22249080274713928
5;1350;269;1195;0.074974485;0.07767133;0.111963406;4.651194;2500;0.1548315525512994
5;1350;235;265;0.040466983;0.23770364;0.1453208;15.106865;2500;0.14263115214067176
5;1350;66;163;0.099636905;0.09973123;0.12722573;1.0513027;2500;0.1714268180429869
5;1350;145;1111;0.078399904;0.12366655;0.24088678;5.987115;2500;0.39419245953539106
5;1350;22;202;0.061116137;0.11264308;0.13645929;19.514906;2500;0.18200220639026507
5;1350;54;1056;0.05991047;0.19404064;0.17595951;13.472857;2500;0.214856938997406
5;1350;208;784;0.08585458;0.10616175;0.21182838;9.7886505;2500;0.34602463334367617
5;1350;225;696;0.08190567;0.094605796;0.12377663;14.903497;2500;0.16771376625726164
5;1350;290;904;0.08766729;0.13784133;0.16562314;9.269869;2500;0.22526364579910424
5;1350;104;873;0.10081226;0.16175014;0.1979922;3.027082;2500;0.27579176859519416
5;1350;117;141;0.056610487;0.13382931;0.23229305;10.453818;2500;0.36719737237628797
5;1350;146;1199;0.033872664;0.22443318;0.19811548;19.152637;2500;0.24204557452980086
5;1350;64;1130;0.10956296;0.1097333;0.11201258;6.179434;2500;0.13519889342247207
5;1350;47;1076;0.022366764;0.18819915;0.14823422;2.004623;2500;0.16609284037820846
5;1350;147;750;0.060803;0.14312512;0.15263984;15.085582;2500;0.19632750956889153
5;1350;75;632;0.04241864;0.1294185;0.15824102;9.633691;2500;0.2155797313476313
5;1350;204;648;0.082047515;0.11784755;0.24124278;7.359393;2500;0.4000432807897624
5;1350;136;27;0.11115176;0.17073599;0.1053555;10.263243;2500;0.09741895814625753
5;1350;251;604;0.058065444;0.1072596;0.14532605;18.66999;2500;0.2035740921814287
5;1350;213;752;0.03815613;0.25558886;0.17386839;5.754736;2500;0.18522567653714783
5;1350;100;793;0.032351043;0.13377343;0.11295941;4.8098803;2500;0.12515228067082534
5;1350;251;405;0.02812528;0.17617947;0.1725307;11.144319;2500;0.21725411960746446
5;1350;243;570;0.11844674;0.12249918;0.11606934;9.802858;2500;0.13638272316948877
5;1350;122;767;0.041658305;0.23401792;0.22566733;3.8461547;2500;0.28961293470599664
5;1350;93;519;0.08351764;0.08801979;0.14051266;12.032489;2500;0.20726115645281984
5;1350;207;1154;0.0248335;0.14633183;0.17845167;11.915318;2500;0.2458973000991299
5;1350;50;849;0.108667895;0.13558882;0.19274768;12.503185;2500;0.2823050938926971
5;1350;67;11;0.06396227;0.12994972;0.14585884;8.857554;2500;0.1904381863204333
5;1350;12;37;0.10673401;0.1399413;0.1526972;6.510926;2500;0.19823323992179084
5;1350;238;831;0.09656744;0.17652002;0.1765774;7.2382407;2500;0.224887518522415
5;1350;202;501;0.065829344;0.09570124;0.22081521;16.852785;2500;0.37529039543439063
5;1350;214;1008;0.10854607;0.16812804;0.16790378;12.876839;2500;0.21253128418421716
5;1350;236;215;0.03176175;0.12387605;0.1736344;8.5624485;2500;0.25075991617017235
5;1350;143;26;0.13501205;0.1498119;0.18937974;12.652072;2500;0.2658639091881175
5;1350;174;471;0.10593021;0.1904125;0.16378172;7.642665;2500;0.19372687226021323
5;1350;50;885;0.045229804;0.2048885;0.20891175;17.39031;2500;0.2725070606670493
5;1350;43;1166;0.066199765;0.23143853;0.10073614;14.825008;2500;0.07378837471999662
5;1350;203;1061;0.08560275;0.18769602;0.17245296;2.9180245;2500;0.21130840372711213
5;1350;146;586;0.07092244;0.08573238;0.23845242;2.0672302;2500;0.42458918832285597
5;1350;173;977;0.06304454;0.0875271;0.19238557;1.6349307;2500;0.32005670204717684
5;1350;231;93;0.033811785;0.11930798;0.17295997;1.5231353;2500;0.25255503431360865
5;1350;194;691;0.08175569;0.13603036;0.21580373;10.44129;2500;0.33035925994448934
5;1350;170;1109;0.024512118;0.21899527;0.1589501;4.4359946;2500;0.17283094347070305
5;1350;172;481;0.05178998;0.1704308;0.17008685;13.816124;2500;0.21554078004458768
