DD hh mm PREC
0.0 0.0 0 0.0
0.002777777777777778 0.16666666666666666 10 1.6666666666666667
0.005555555555555556 0.3333333333333333 20 1.6666666666666667
0.008333333333333333 0.5 30 1.6666666666666667
0.011111111111111112 0.6666666666666666 40 1.6666666666666667
0.013888888888888888 0.8333333333333334 50 1.6666666666666667
0.016666666666666666 1.0 60 1.6666666666666667
0.019444444444444445 1.1666666666666667 70 1.6666666666666667
0.022222222222222223 1.3333333333333333 80 1.6666666666666667
0.025 1.5 90 1.6666666666666667
0.027777777777777776 1.6666666666666667 100 1.6666666666666667
0.030555555555555555 1.8333333333333333 110 1.6666666666666667
0.03333333333333333 2.0 120 1.6666666666666667
0.03611111111111111 2.1666666666666665 130 1.6666666666666667
0.03888888888888889 2.3333333333333335 140 1.6666666666666667
0.041666666666666664 2.5 150 1.6666666666666667
0.044444444444444446 2.6666666666666665 160 1.6666666666666667
0.04722222222222222 2.8333333333333335 170 1.6666666666666667
0.05 3.0 180 1.6666666666666667
0.05277777777777778 3.1666666666666665 190 1.6666666666666667
0.05555555555555555 3.3333333333333335 200 1.6666666666666667
0.058333333333333334 3.5 210 1.6666666666666667
0.06111111111111111 3.6666666666666665 220 1.6666666666666667
0.06388888888888888 3.8333333333333335 230 1.6666666666666667
0.06666666666666667 4.0 240 1.6666666666666667
0.06944444444444445 4.166666666666667 250 1.6666666666666667
0.07222222222222222 4.333333333333333 260 1.6666666666666667
0.075 4.5 270 1.6666666666666667
0.07777777777777778 4.666666666666667 280 1.6666666666666667
0.08055555555555556 4.833333333333333 290 1.6666666666666667
