DD hh mm PREC
0.0 0.0 0 0.0
0.002777777777777778 0.16666666666666666 10 0.007073294703649752
0.005555555555555556 0.3333333333333333 20 0.015365283433135871
0.008333333333333333 0.5 30 0.031578323502348654
0.011111111111111112 0.6666666666666666 40 0.06139983925912945
0.013888888888888888 0.8333333333333334 50 0.11294709615443001
0.016666666666666666 1.0 60 0.1965678901947587
0.019444444444444445 1.1666666666666667 70 0.3236530870823545
0.022222222222222223 1.3333333333333333 80 0.5041695382206197
0.025 1.5 90 0.7430244784229563
0.027777777777777776 1.6666666666666667 100 1.0359989417841404
0.030555555555555555 1.8333333333333333 110 1.3666118210801477
0.03333333333333333 2.0 120 1.7055352709319165
0.03611111111111111 2.1666666666666665 130 2.013751645252227
0.03888888888888889 2.3333333333333335 140 2.249472987018354
0.041666666666666664 2.5 150 2.377307317940476
0.044444444444444446 2.6666666666666665 160 2.376947246152301
0.04722222222222222 2.8333333333333335 170 2.248451012600907
0.05 3.0 180 2.0122270726088933
0.05277777777777778 3.1666666666666665 190 1.7037278255559727
0.05555555555555555 3.3333333333333335 200 1.364750041136378
0.058333333333333334 3.5 210 1.0342741888417502
0.06111111111111111 3.6666666666666665 220 0.7415627873075084
0.06388888888888888 3.8333333333333335 230 0.503025313743872
0.06666666666666667 4.0 240 0.3228207364953471
0.06944444444444445 4.166666666666667 250 0.1960029817876714
0.07222222222222222 4.333333333333333 260 0.11258838864019577
0.075 4.5 270 0.06118630113043971
0.07777777777777778 4.666666666666667 280 0.031458967656115326
0.08055555555555556 4.833333333333333 290 0.01530257106265169
