PREC event_type event_no event 10mins h d dt PET TA
0.71 0 0 False False False True 86400 1.7 12.8
0.0 0 0 True False True False 3600 0.049999999999999996 14.6
0.16999999999999998 30 1 True False True False 3600 0.049999999999999996 14.6
0.73 30 1 True False True False 3600 0.049999999999999996 14.6
0.11 30 1 True False True False 3600 0.049999999999999996 14.6
0.33 30 1 True False True False 3600 0.049999999999999996 14.6
0.63 30 1 True False True False 3600 0.049999999999999996 14.6
0.2 30 1 True False True False 3600 0.049999999999999996 14.6
0.03 30 1 True False True False 3600 0.049999999999999996 14.6
0.0 30 1 True False True False 3600 0.049999999999999996 14.6
0.0 30 1 True False True False 3600 0.049999999999999996 14.6
0.0 30 1 True False True False 3600 0.049999999999999996 14.6
0.0 30 1 True False True False 3600 0.049999999999999996 14.6
0.0 30 1 True False True False 3600 0.049999999999999996 14.6
0.0 30 1 True False True False 3600 0.049999999999999996 14.6
0.0 30 1 True False True False 3600 0.049999999999999996 14.6
0.0 30 1 True False True False 3600 0.049999999999999996 14.6
0.0 30 1 True False True False 3600 0.049999999999999996 14.6
0.0 30 1 True False True False 3600 0.049999999999999996 14.6
0.0 30 1 True False True False 3600 0.049999999999999996 14.6
0.0 30 1 True False True False 3600 0.049999999999999996 14.6
0.0 30 1 True False True False 3600 0.049999999999999996 14.6
0.0 30 1 True False True False 3600 0.049999999999999996 14.6
0.0 30 1 True False True False 3600 0.049999999999999996 14.6
0.0 30 1 True False True False 3600 0.049999999999999996 14.6
0.0 0 0 False False False True 86400 1.6 15.4
0.0 0 0 True False True False 3600 0.049999999999999996 14.5
0.0 0 0 True False True False 3600 0.049999999999999996 14.5
0.0 0 0 True False True False 3600 0.049999999999999996 14.5
0.0 0 0 True False True False 3600 0.049999999999999996 14.5
0.0 0 0 True False True False 3600 0.049999999999999996 14.5
0.0 0 0 True False True False 3600 0.049999999999999996 14.5
0.0 0 0 True False True False 3600 0.049999999999999996 14.5
0.0 0 0 True False True False 3600 0.049999999999999996 14.5
0.0 0 0 True False True False 3600 0.049999999999999996 14.5
0.0 0 0 True False True False 3600 0.049999999999999996 14.5
0.0 0 0 True False True False 3600 0.049999999999999996 14.5
0.0 0 0 True False True False 3600 0.049999999999999996 14.5
0.0 0 0 True False True False 3600 0.049999999999999996 14.5
0.0 0 0 True False True False 3600 0.049999999999999996 14.5
0.0 0 0 True False True False 3600 0.049999999999999996 14.5
0.0 0 0 True False True False 3600 0.049999999999999996 14.5
0.0 0 0 True False True False 3600 0.049999999999999996 14.5
0.0 0 0 True False True False 3600 0.049999999999999996 14.5
0.0 0 0 True False True False 3600 0.049999999999999996 14.5
0.0 0 0 True False True False 3600 0.049999999999999996 14.5
0.0 0 0 True False True False 3600 0.049999999999999996 14.5
0.06 30 2 True False True False 3600 0.049999999999999996 14.5
0.07 30 2 True False True False 3600 0.049999999999999996 14.5
0.42 30 2 True False True False 3600 0.049999999999999996 14.5
0.88 30 2 True False True False 3600 0.06666666666666667 14.9
0.11 30 2 True False True False 3600 0.06666666666666667 14.9
0.22999999999999998 30 2 True False True False 3600 0.06666666666666667 14.9
0.0 30 2 True False True False 3600 0.06666666666666667 14.9
0.0 30 2 True False True False 3600 0.06666666666666667 14.9
0.0 30 2 True False True False 3600 0.06666666666666667 14.9
0.0 30 2 True False True False 3600 0.06666666666666667 14.9
0.0 30 2 True False True False 3600 0.06666666666666667 14.9
0.0 30 2 True False True False 3600 0.06666666666666667 14.9
0.0 30 2 True False True False 3600 0.06666666666666667 14.9
0.0 30 2 True False True False 3600 0.06666666666666667 14.9
0.0 30 2 True False True False 3600 0.06666666666666667 14.9
0.0 30 2 True False True False 3600 0.06666666666666667 14.9
0.0 30 2 True False True False 3600 0.06666666666666667 14.9
0.0 30 2 True False True False 3600 0.06666666666666667 14.9
0.0 30 2 True False True False 3600 0.06666666666666667 14.9
0.0 30 2 True False True False 3600 0.06666666666666667 14.9
0.0 30 2 True False True False 3600 0.06666666666666667 14.9
0.0 30 2 True False True False 3600 0.06666666666666667 14.9
0.0 30 2 True False True False 3600 0.06666666666666667 14.9
0.0 30 2 True False True False 3600 0.06666666666666667 14.9
0.0 30 2 True False True False 3600 0.06666666666666667 14.9
0.0 30 2 True False True False 3600 0.06666666666666667 14.9
0.0 30 2 True False True False 3600 0.06666666666666667 14.9
0.0 0 0 False False False True 86400 1.4 13.7
0.0 0 0 False False False True 86400 1.0 14.1
0.0 0 0 False False False True 86400 1.2 13.6
0.0 0 0 True False True False 3600 0.012499999999999999 12.9
0.0 0 0 True False True False 3600 0.012499999999999999 12.9
0.0 0 0 True False True False 3600 0.012499999999999999 12.9
0.0 0 0 True False True False 3600 0.012499999999999999 12.9
0.0 0 0 True False True False 3600 0.012499999999999999 12.9
0.0 0 0 True False True False 3600 0.012499999999999999 12.9
0.09 30 3 True False True False 3600 0.012499999999999999 12.9
0.11 30 3 True False True False 3600 0.012499999999999999 12.9
0.0 30 3 True False True False 3600 0.012499999999999999 12.9
0.0 30 3 True False True False 3600 0.012499999999999999 12.9
0.0 30 3 True False True False 3600 0.012499999999999999 12.9
0.0 30 3 True False True False 3600 0.012499999999999999 12.9
0.0 30 3 True False True False 3600 0.012499999999999999 12.9
0.0 30 3 True False True False 3600 0.012499999999999999 12.9
0.0 30 3 True False True False 3600 0.012499999999999999 12.9
0.0 30 3 True False True False 3600 0.012499999999999999 12.9
0.0 30 3 True False True False 3600 0.012499999999999999 12.9
0.0 30 3 True False True False 3600 0.012499999999999999 12.9
0.0 30 3 True False True False 3600 0.012499999999999999 12.9
0.0 30 3 True False True False 3600 0.012499999999999999 12.9
0.0 30 3 True False True False 3600 0.012499999999999999 12.9
0.0 30 3 True False True False 3600 0.012499999999999999 12.9
0.0 30 3 True False True False 3600 0.012499999999999999 12.9
0.0 30 3 True False True False 3600 0.012499999999999999 12.9
0.0 0 0 False False False True 86400 0.8 9.7
0.0 0 0 False False False True 86400 1.2 10.2
0.0 0 0 False False False True 86400 0.9 7.2
0.0 0 0 False False False True 86400 0.2 5.6
0.0 0 0 False False False True 86400 0.1 5.6
0.0 0 0 False False False True 86400 0.3 6.1
0.0 0 0 True False True False 3600 0.020833333333333332 7.3
0.0 0 0 True False True False 3600 0.020833333333333332 7.3
0.1 30 4 True False True False 3600 0.020833333333333332 7.3
0.8 30 4 True False True False 3600 0.020833333333333332 7.3
1.34 30 4 True False True False 3600 0.020833333333333332 7.3
0.9 30 4 True False True False 3600 0.020833333333333332 7.3
1.15 30 4 True False True False 3600 0.020833333333333332 7.3
0.65 30 4 True False True False 3600 0.020833333333333332 7.3
0.8 30 4 True False True False 3600 0.020833333333333332 7.3
0.6499999999999999 30 4 True False True False 3600 0.020833333333333332 7.3
1.54 30 4 True False True False 3600 0.020833333333333332 7.3
0.97 30 4 True False True False 3600 0.020833333333333332 7.3
0.33 30 4 True False True False 3600 0.020833333333333332 7.3
0.08 30 4 True False True False 3600 0.020833333333333332 7.3
0.0 30 4 True False True False 3600 0.020833333333333332 7.3
0.17 30 4 True False True False 3600 0.020833333333333332 7.3
2.25 30 4 True False True False 3600 0.020833333333333332 7.3
0.54 30 4 True False True False 3600 0.020833333333333332 7.3
0.0 30 4 True False True False 3600 0.020833333333333332 7.3
0.13 30 4 True False True False 3600 0.020833333333333332 7.3
2.01 30 4 True False True False 3600 0.020833333333333332 7.3
0.0 30 4 True False True False 3600 0.020833333333333332 7.3
0.0 30 4 True False True False 3600 0.020833333333333332 7.3
0.47000000000000003 30 4 True False True False 3600 0.020833333333333332 7.3
0.06 30 4 True False True False 3600 0.012499999999999999 7.1
0.0 30 4 True False True False 3600 0.012499999999999999 7.1
0.0 30 4 True False True False 3600 0.012499999999999999 7.1
0.0 30 4 True False True False 3600 0.012499999999999999 7.1
0.0 30 4 True False True False 3600 0.012499999999999999 7.1
0.06 30 4 True False True False 3600 0.012499999999999999 7.1
0.0 30 4 True False True False 3600 0.012499999999999999 7.1
0.0 30 4 True False True False 3600 0.012499999999999999 7.1
0.0 30 4 True False True False 3600 0.012499999999999999 7.1
0.0 30 4 True False True False 3600 0.012499999999999999 7.1
0.0 30 4 True False True False 3600 0.012499999999999999 7.1
0.0 30 4 True False True False 3600 0.012499999999999999 7.1
0.0 30 4 True False True False 3600 0.012499999999999999 7.1
0.0 30 4 True False True False 3600 0.012499999999999999 7.1
0.0 30 4 True False True False 3600 0.012499999999999999 7.1
0.0 30 4 True False True False 3600 0.012499999999999999 7.1
0.16 30 5 True False True False 3600 0.012499999999999999 7.1
0.11 30 5 True False True False 3600 0.012499999999999999 7.1
