DD hh mm PREC
0.0 0.0 0 0.0
0.002777777777777778 0.16666666666666666 10 0.005858553950043798
0.005555555555555556 0.3333333333333333 20 0.007973100721849834
0.008333333333333333 0.5 30 0.010836218020962397
0.011111111111111112 0.6666666666666666 40 0.014706058313874155
0.013888888888888888 0.8333333333333334 50 0.019926533856925582
0.016666666666666666 1.0 60 0.02695420705282079
0.019444444444444445 1.1666666666666667 70 0.036392799358189294
0.022222222222222223 1.3333333333333333 80 0.049037039382448314
0.025 1.5 90 0.06592769847198005
0.027777777777777776 1.6666666666666667 100 0.08841960409720595
0.030555555555555555 1.8333333333333333 110 0.11826400363936931
0.03333333333333333 2.0 120 0.15770558784489064
0.03611111111111111 2.1666666666666665 130 0.209592314224103
0.03888888888888889 2.3333333333333335 140 0.2774921668870086
0.041666666666666664 2.5 150 0.36580400906726884
0.044444444444444446 2.6666666666666665 160 0.4798379577706495
0.04722222222222222 2.8333333333333335 170 0.6258215143154066
0.05 3.0 180 0.8107568619318348
0.05277777777777778 3.1666666666666665 190 1.0420059778553952
0.05555555555555555 3.3333333333333335 200 1.3264039622814083
0.058333333333333334 3.5 210 1.668582908876296
0.06111111111111111 3.6666666666666665 220 2.068007225894175
0.06388888888888888 3.8333333333333335 230 2.513944447631329
0.06666666666666667 4.0 240 2.9771754382312485
0.06944444444444445 4.166666666666667 250 3.396613490758546
0.07222222222222222 4.333333333333333 260 3.658048017736118
0.075 4.5 270 3.560799934431097
0.07777777777777778 4.666666666666667 280 2.7659433081397693
0.08055555555555556 4.833333333333333 290 0.7165740904972935
